var,class,N,nonmissing,na,na_pct
wave,integer,49366,49366,0,0
survey_year,integer,49366,49366,0,0
log_wage,numeric,49366,49366,0,0
wage_monthly,numeric,49366,49366,0,0
log_wage_hourly,numeric,49366,49366,0,0
educ_years,integer,49366,49357,9,0.02
educ_level,integer,49366,49366,0,0
age,integer,49366,49366,0,0
sex,integer,49366,49366,0,0
marital,integer,49366,49366,0,0
experience,integer,49366,49366,0,0
experience_sq,integer,49366,49366,0,0
urban,integer,49366,49366,0,0
hhsize,integer,49366,49366,0,0
hhweight,numeric,49366,49366,0,0
birth_aimag,integer,49366,12023,37343,75.65
newaimag,integer,49366,49366,0,0
birth_year,integer,49366,49366,0,0
dist_ub,integer,49366,49270,96,0.19
log_dist_ub,numeric,49366,49270,96,0.19
loo_mean_educ,numeric,49366,49357,9,0.02
ebs_school_age_years,integer,49366,5998,43368,87.85
ebs_teachers_per_1000_school_age,numeric,49366,5998,43368,87.85
ebs_schools_per_1000_school_age,numeric,49366,5998,43368,87.85
ebs_student_teacher_ratio_school_age,numeric,49366,5998,43368,87.85
ebs_teachers_per_1000_age12,numeric,49366,3701,45665,92.5
ebs_student_teacher_ratio_age12,numeric,49366,3701,45665,92.5
ebs_teachers_per_1000_2000,numeric,49366,11927,37439,75.84
ebs_student_teacher_ratio_2000,numeric,49366,11927,37439,75.84
