var,N,mean,sd,min,p01,p25,median,p75,p99,max
wave,49366,2019.67570797715,2.75906986224236,2016,2016,2018,2020,2021,2024,2024
survey_year,49366,2019.67570797715,2.75906986224236,2016,2016,2018,2020,2021,2024,2024
log_wage,49366,13.4702023442233,0.61810665501014,11.3385720778255,11.9183905730784,13.0815413828841,13.4588356140255,13.8155105579643,14.9141228466324,15.4249484703984
wage_monthly,49366,861437.713041365,606250.085043293,84000,150000,480000,7e+05,1e+06,3e+06,5e+06
log_wage_hourly,49366,8.3274463186057,0.782494644893656,5.39339757279831,6.5816220201561,7.82404601085629,8.25936408211414,8.80487526386802,10.5176706087106,14.2209756660724
educ_years,49357,11.8914034483457,2.88498886657379,0,3,10,12,14,18,22
educ_level,49366,5.86766195357128,2.10554310578931,1,1,4,6,8,9,10
age,49366,39.4393104565896,9.08735159226098,25,25,32,39,47,59,60
sex,49366,1.49777174573593,0.500000099099169,1,1,1,1,2,2,2
marital,49366,2.29105052060122,1.06274524276898,1,1,2,2,2,6,6
experience,49366,21.5440586638577,10.021637355353,0,4,13,21,30,43,54
experience_sq,49366,564.577644532674,463.730944860137,0,16,169,441,900,1849,2916
urban,49366,1.3205850180286,0.466706199321313,1,1,1,1,2,2,2
hhsize,49366,4.02876473686343,1.55508695367116,1,1,3,4,5,8,16
hhweight,49366,65.6868225117245,45.9989661283302,6.07006359100342,10.8958330154419,32.5173940658569,48.1649398803711,107.376304626465,201.505349731445,751.955200195313
birth_aimag,12023,48.2500207934792,56.5672488116697,11,11,11,44,67,85,998
newaimag,49366,42.1753433537252,26.661581187803,11,11,11,44,64,85,85
birth_year,49366,1980.23639752056,9.34577592388499,1956,1960,1973,1981,1988,1997,1999
dist_ub,49270,487.625228333672,457.403492774022,0,0,0,371,664,1636,1636
log_dist_ub,49270,4.7004323693796,2.78582708612329,0,0,0,5.91620206260744,6.49828214947643,7.40000951716269,7.40000951716269
loo_mean_educ,49357,11.8791052940819,0.973292283373752,0,9.89393939393939,11.203125,11.9137931034483,12.5972762645914,13.7528735632184,18
ebs_school_age_years,5998,6.9754918306102,3.58580468153575,1,1,4,7,10,12,12
ebs_teachers_per_1000_school_age,5998,41.2491397598276,5.37099592199737,26.8363204379592,36.6646153846154,38.6198425814062,40.2183406113537,42.7016709743909,55.7700410331378,168.477185649599
ebs_schools_per_1000_school_age,5998,1.42324486966328,0.41232265563086,0.78191715725281,0.837669810844128,1.00270960689141,1.44151984820265,1.76697820274583,2.20472440944882,2.30186223697623
ebs_student_teacher_ratio_school_age,5998,24.6743461034319,1.9122274380419,10.9923218145687,19.3834847294587,23.6904209414595,25.005992568512,25.9557561829879,27.2742531050688,48.2181947641461
ebs_teachers_per_1000_age12,3701,41.3597928598855,7.88834997188585,15.1376146788991,35.5357142857143,38.1325301204819,39.8979591836735,42.5225225225225,56.1616161616162,272.068965517241
ebs_student_teacher_ratio_age12,3701,24.5706961080894,2.70076661492858,3.67553865652725,17.8057553956835,23.5169491525424,25.0639386189258,26.2243285939968,28.1407035175879,66.0606060606061
ebs_teachers_per_1000_2000,11927,39.1794758246115,2.13892663914857,36.6646153846154,36.6646153846154,36.6646153846154,39.3063583815029,40.2727272727273,43.9759036144578,43.9759036144578
ebs_student_teacher_ratio_2000,11927,25.5979979533088,1.36587490913399,22.7397260273973,22.7397260273973,24.8306997742664,25.4411764705882,27.2742531050688,27.2742531050688,27.2742531050688
