Model,beta,return_pct,N
OLS (simple),0.0735559275470421,7.6,49357
OLS (aimag+wave FE),0.063057114222636,6.5,49357
Panel FE (pseudo-panel),0.162726884074255,17.7,692
Panel RE (pseudo-panel),0.202818163298498,22.5,692
2SLS IV (birth_aimag),0.121273545660074,12.9,11924
2SLS IV (birth_aimag + current aimag FE),0.111251867237257,11.8,11924
"2SLS IV (log dist_UB, robustness)",0.149837858367518,16.2,11924
IV threshold regime 1 (low EBS supply),0.0587529682841472,6.1,2820
IV threshold regime 2 (high EBS supply),0.0506883045860929,5.2,2350
Heckman corrected,0.0557227494079791,5.7,49811
